,Quote_DATE,Put_Call_Ratio,IV_Proxy,LTF_Ratio,Market_Phase
0,2021-09-01,1.2866390645295174,0.1101056176765256,0.2305757406372275,Optimism
1,2021-09-02,1.2546788925104768,0.10500837523221948,0.2390998593530239,Optimism
2,2021-09-03,1.2869114497850722,0.12123142898623189,0.19828302409304902,Optimism
3,2021-09-07,0.9961963200303503,0.12202744779184953,0.2576271186440678,Optimism
4,2021-09-08,1.1863466064514647,0.12233379809361129,0.2364406779661017,Optimism
5,2021-09-09,1.0796435209320556,0.12263852512918237,0.19637804187889077,Optimism
6,2021-09-10,1.2405868412253276,0.17302823602898126,0.08189894503053859,Optimism
7,2021-09-13,1.311121337451439,0.136648311878199,0.16713483146067415,Optimism
8,2021-09-14,1.1583625040205703,0.14511299421079837,0.21305938643399944,Optimism
9,2021-09-15,1.1168101249643474,0.14051034390913567,0.2119700748129676,Optimism
10,2021-09-16,0.7207450756823409,0.1470557446781296,0.18476137315099078,Optimism
11,2021-09-17,0.9077484606293549,0.15618072210786496,0.11025991792065663,Optimism
12,2021-09-20,1.1819060401044716,0.15348206907684322,0.1138739756993501,Optimism
13,2021-09-21,1.1466955348903245,0.13633638361264788,0.17220630372492837,Optimism
14,2021-09-22,1.1178886806352049,0.14955308065046427,0.1736916548797737,Optimism
15,2021-09-23,1.153080566094535,0.1267891136850249,0.17625389628790025,Optimism
16,2021-09-24,1.1811325740268748,0.1451116578167435,0.20285794340151303,Optimism
17,2021-09-27,0.9780488538556409,0.1418641555731519,0.21078290794379123,Optimism
18,2021-09-28,1.041993187009326,0.15237586264708824,0.1267646211466436,Optimism
19,2021-09-29,1.0743463277104188,0.4130699378317741,0.31585081585081587,Optimism
